representation,patient_a,patient_b,conditional_same_set
4-view,TCGA-B0-4712,TCGA-B0-4821,1.0
4-view,TCGA-B0-4712,TCGA-B0-5081,0.823529411764706
4-view,TCGA-B0-4712,TCGA-B0-5085,0.0
4-view,TCGA-B0-4712,TCGA-B0-5088,1.0
4-view,TCGA-B0-4712,TCGA-B0-5106,1.0
4-view,TCGA-B0-4712,TCGA-B0-5115,0.15
4-view,TCGA-B0-4712,TCGA-B0-5117,0.0
4-view,TCGA-B0-4712,TCGA-B0-5696,0.0
4-view,TCGA-B0-4712,TCGA-B0-5697,0.0
4-view,TCGA-B0-4712,TCGA-B0-5698,0.0
4-view,TCGA-B0-4712,TCGA-B0-5702,0.6666666666666666
4-view,TCGA-B0-4712,TCGA-B0-5703,1.0
4-view,TCGA-B0-4712,TCGA-B0-5706,1.0
4-view,TCGA-B0-4712,TCGA-B0-5709,0.375
4-view,TCGA-B0-4712,TCGA-B0-5712,0.5
4-view,TCGA-B0-4712,TCGA-B0-5812,0.0
4-view,TCGA-B0-4712,TCGA-B8-4148,1.0
4-view,TCGA-B0-4712,TCGA-B8-4151,0.5
4-view,TCGA-B0-4712,TCGA-B8-4153,0.0
4-view,TCGA-B0-4712,TCGA-B8-4619,0.0
4-view,TCGA-B0-4712,TCGA-B8-4622,0.5
4-view,TCGA-B0-4712,TCGA-B8-5158,0.5
4-view,TCGA-B0-4712,TCGA-B8-5159,0.0
4-view,TCGA-B0-4712,TCGA-B8-5162,1.0
4-view,TCGA-B0-4712,TCGA-B8-5164,0.5
4-view,TCGA-B0-4712,TCGA-B8-5165,0.0
4-view,TCGA-B0-4712,TCGA-B8-5546,0.0
4-view,TCGA-B0-4712,TCGA-B8-5549,1.0
4-view,TCGA-B0-4712,TCGA-B8-5550,0.75
4-view,TCGA-B0-4712,TCGA-B8-5551,0.44999999999999996
4-view,TCGA-B0-4712,TCGA-B8-5553,0.0
4-view,TCGA-B0-4712,TCGA-B8-A54D,0.5
4-view,TCGA-B0-4712,TCGA-B8-A54E,0.3529411764705882
4-view,TCGA-B0-4712,TCGA-B8-A54F,1.0
4-view,TCGA-B0-4712,TCGA-B8-A54G,0.1764705882352941
4-view,TCGA-B0-4712,TCGA-BP-4164,0.5
4-view,TCGA-B0-4712,TCGA-BP-4167,0.6
4-view,TCGA-B0-4712,TCGA-BP-4770,0.7894736842105263
4-view,TCGA-B0-4712,TCGA-BP-4782,0.1764705882352941
4-view,TCGA-B0-4712,TCGA-BP-4960,1.0
4-view,TCGA-B0-4712,TCGA-BP-4962,0.75
4-view,TCGA-B0-4712,TCGA-BP-4965,0.0
4-view,TCGA-B0-4712,TCGA-BP-4967,1.0
4-view,TCGA-B0-4712,TCGA-BP-4970,0.0
4-view,TCGA-B0-4712,TCGA-BP-4971,1.0
4-view,TCGA-B0-4712,TCGA-BP-4972,0.1764705882352941
4-view,TCGA-B0-4712,TCGA-BP-4976,0.0
4-view,TCGA-B0-4712,TCGA-BP-4977,0.5
4-view,TCGA-B0-4712,TCGA-BP-4982,0.0
4-view,TCGA-B0-4712,TCGA-BP-4986,1.0
4-view,TCGA-B0-4712,TCGA-BP-4988,1.0
4-view,TCGA-B0-4712,TCGA-BP-4989,0.6666666666666666
4-view,TCGA-B0-4712,TCGA-BP-4992,0.5
4-view,TCGA-B0-4712,TCGA-BP-4994,0.0
4-view,TCGA-B0-4712,TCGA-BP-4995,0.0
4-view,TCGA-B0-4712,TCGA-BP-4999,0.0
4-view,TCGA-B0-4712,TCGA-BP-5000,0.5
4-view,TCGA-B0-4712,TCGA-BP-5001,0.0
4-view,TCGA-B0-4712,TCGA-BP-5004,0.0
4-view,TCGA-B0-4712,TCGA-BP-5006,0.0
4-view,TCGA-B0-4712,TCGA-BP-5007,0.0
4-view,TCGA-B0-4712,TCGA-BP-5009,0.5
4-view,TCGA-B0-4712,TCGA-BP-5010,1.0
4-view,TCGA-B0-4712,TCGA-BP-5174,0.0
4-view,TCGA-B0-4712,TCGA-BP-5175,1.0
4-view,TCGA-B0-4712,TCGA-BP-5180,0.1764705882352941
4-view,TCGA-B0-4712,TCGA-BP-5181,0.0
4-view,TCGA-B0-4712,TCGA-BP-5183,0.0
4-view,TCGA-B0-4712,TCGA-BP-5184,0.0
4-view,TCGA-B0-4712,TCGA-BP-5186,0.0
4-view,TCGA-B0-4712,TCGA-BP-5187,0.0
4-view,TCGA-B0-4712,TCGA-BP-5189,0.21428571428571425
4-view,TCGA-B0-4712,TCGA-BP-5190,0.0
4-view,TCGA-B0-4712,TCGA-BP-5191,1.0
4-view,TCGA-B0-4712,TCGA-BP-5192,0.0
4-view,TCGA-B0-4712,TCGA-BP-5194,0.0
4-view,TCGA-B0-4712,TCGA-BP-5195,0.0
4-view,TCGA-B0-4712,TCGA-BP-5196,0.7894736842105263
4-view,TCGA-B0-4712,TCGA-BP-5199,1.0
4-view,TCGA-B0-4712,TCGA-BP-5200,0.5
4-view,TCGA-B0-4712,TCGA-CJ-4637,0.44999999999999996
4-view,TCGA-B0-4712,TCGA-CJ-4641,0.44999999999999996
4-view,TCGA-B0-4712,TCGA-CJ-4900,0.44999999999999996
4-view,TCGA-B0-4712,TCGA-CJ-4902,0.6666666666666666
4-view,TCGA-B0-4712,TCGA-CJ-4903,0.46153846153846156
4-view,TCGA-B0-4712,TCGA-CJ-4904,0.0
4-view,TCGA-B0-4712,TCGA-CJ-4923,0.5625
4-view,TCGA-B0-4712,TCGA-CJ-6027,0.5
4-view,TCGA-B0-4712,TCGA-CJ-6028,0.44999999999999996
4-view,TCGA-B0-4712,TCGA-CJ-6030,0.1764705882352941
4-view,TCGA-B0-4712,TCGA-CJ-6033,0.6923076923076924
4-view,TCGA-B0-4712,TCGA-CZ-4859,0.0
4-view,TCGA-B0-4712,TCGA-CZ-4863,0.5
4-view,TCGA-B0-4712,TCGA-CZ-4865,1.0
4-view,TCGA-B0-4712,TCGA-CZ-5451,0.0
4-view,TCGA-B0-4712,TCGA-CZ-5462,0.1764705882352941
4-view,TCGA-B0-4712,TCGA-CZ-5468,1.0
4-view,TCGA-B0-4712,TCGA-CZ-5984,1.0
4-view,TCGA-B0-4712,TCGA-CZ-5985,0.44999999999999996
4-view,TCGA-B0-4712,TCGA-CZ-5988,0.5
4-view,TCGA-B0-4712,TCGA-G6-A5PC,0.5
4-view,TCGA-B0-4712,TCGA-G6-A8L7,1.0
4-view,TCGA-B0-4821,TCGA-B0-5081,0.823529411764706
4-view,TCGA-B0-4821,TCGA-B0-5085,0.0
4-view,TCGA-B0-4821,TCGA-B0-5088,1.0
