family_id,run_ids,initial_k_values,repeat_values,k_coverage,repeat_coverage,member_ids,member_frequency,k_member_frequency,same_run_conflict,same_run_conflict_count,is_recurrent_relation_component,is_cohesive_family,is_orphan_set,mean_jaccard,minimum_jaccard,mean_dice,minimum_dice,mean_overlap,minimum_overlap
FAMILY01,"[""run1_K2"", ""run1_K3"", ""run1_K4"", ""run1_K5"", ""run1_K6"", ""run1_K7"", ""run1_K8"", ""run2_K2"", ""run2_K3"", ""run2_K4"", ""run2_K5"", ""run2_K6"", ""run2_K7"", ""run2_K8"", ""run3_K2"", ""run3_K3"", ""run3_K4"", ""run3_K5"", ""run3_K6"", ""run3_K7"", ""run3_K8""]","[2, 3, 4, 5, 6, 7, 8]","[1, 2, 3]",7,3,"[""TCGA-B0-4712"", ""TCGA-B0-4821"", ""TCGA-B0-5081"", ""TCGA-B0-5106"", ""TCGA-B0-5115"", ""TCGA-B0-5117"", ""TCGA-B0-5697"", ""TCGA-B0-5702"", ""TCGA-B0-5703"", ""TCGA-B0-5706"", ""TCGA-B0-5709"", ""TCGA-B8-4148"", ""TCGA-B8-4619"", ""TCGA-B8-4622"", ""TCGA-B8-5158"", ""TCGA-B8-5162"", ""TCGA-B8-5164"", ""TCGA-B8-5549"", ""TCGA-B8-5550"", ""TCGA-B8-5551"", ""TCGA-B8-A54E"", ""TCGA-B8-A54F"", ""TCGA-BP-4164"", ""TCGA-BP-4167"", ""TCGA-BP-4770"", ""TCGA-BP-4782"", ""TCGA-BP-4960"", ""TCGA-BP-4962"", ""TCGA-BP-4967"", ""TCGA-BP-4971"", ""TCGA-BP-4977"", ""TCGA-BP-4986"", ""TCGA-BP-4988"", ""TCGA-BP-4989"", ""TCGA-BP-4992"", ""TCGA-BP-4994"", ""TCGA-BP-5000"", ""TCGA-BP-5009"", ""TCGA-BP-5010"", ""TCGA-BP-5175"", ""TCGA-BP-5180"", ""TCGA-BP-5189"", ""TCGA-BP-5191"", ""TCGA-BP-5196"", ""TCGA-BP-5200"", ""TCGA-CJ-4637"", ""TCGA-CJ-4641"", ""TCGA-CJ-4900"", ""TCGA-CJ-4902"", ""TCGA-CJ-4903"", ""TCGA-CJ-4923"", ""TCGA-CJ-6027"", ""TCGA-CJ-6028"", ""TCGA-CJ-6030"", ""TCGA-CJ-6033"", ""TCGA-CZ-4865"", ""TCGA-CZ-5462"", ""TCGA-CZ-5468"", ""TCGA-CZ-5984"", ""TCGA-CZ-5985"", ""TCGA-G6-A5PC"", ""TCGA-G6-A8L7""]","{""TCGA-B0-4712"": 21, ""TCGA-B0-4821"": 21, ""TCGA-B0-5081"": 18, ""TCGA-B0-5106"": 21, ""TCGA-B0-5115"": 12, ""TCGA-B0-5117"": 6, ""TCGA-B0-5697"": 3, ""TCGA-B0-5702"": 3, ""TCGA-B0-5703"": 6, ""TCGA-B0-5706"": 21, ""TCGA-B0-5709"": 6, ""TCGA-B8-4148"": 3, ""TCGA-B8-4619"": 6, ""TCGA-B8-4622"": 3, ""TCGA-B8-5158"": 21, ""TCGA-B8-5162"": 3, ""TCGA-B8-5164"": 3, ""TCGA-B8-5549"": 3, ""TCGA-B8-5550"": 12, ""TCGA-B8-5551"": 21, ""TCGA-B8-A54E"": 6, ""TCGA-B8-A54F"": 3, ""TCGA-BP-4164"": 9, ""TCGA-BP-4167"": 21, ""TCGA-BP-4770"": 21, ""TCGA-BP-4782"": 3, ""TCGA-BP-4960"": 21, ""TCGA-BP-4962"": 21, ""TCGA-BP-4967"": 3, ""TCGA-BP-4971"": 12, ""TCGA-BP-4977"": 9, ""TCGA-BP-4986"": 6, ""TCGA-BP-4988"": 6, ""TCGA-BP-4989"": 3, ""TCGA-BP-4992"": 21, ""TCGA-BP-4994"": 6, ""TCGA-BP-5000"": 9, ""TCGA-BP-5009"": 6, ""TCGA-BP-5010"": 21, ""TCGA-BP-5175"": 15, ""TCGA-BP-5180"": 15, ""TCGA-BP-5189"": 6, ""TCGA-BP-5191"": 18, ""TCGA-BP-5196"": 21, ""TCGA-BP-5200"": 3, ""TCGA-CJ-4637"": 9, ""TCGA-CJ-4641"": 9, ""TCGA-CJ-4900"": 15, ""TCGA-CJ-4902"": 15, ""TCGA-CJ-4903"": 9, ""TCGA-CJ-4923"": 21, ""TCGA-CJ-6027"": 21, ""TCGA-CJ-6028"": 21, ""TCGA-CJ-6030"": 6, ""TCGA-CJ-6033"": 21, ""TCGA-CZ-4865"": 3, ""TCGA-CZ-5462"": 3, ""TCGA-CZ-5468"": 15, ""TCGA-CZ-5984"": 3, ""TCGA-CZ-5985"": 3, ""TCGA-G6-A5PC"": 12, ""TCGA-G6-A8L7"": 9}","{""TCGA-B0-4712"": 7, ""TCGA-B0-4821"": 7, ""TCGA-B0-5081"": 6, ""TCGA-B0-5106"": 7, ""TCGA-B0-5115"": 4, ""TCGA-B0-5117"": 2, ""TCGA-B0-5697"": 1, ""TCGA-B0-5702"": 1, ""TCGA-B0-5703"": 2, ""TCGA-B0-5706"": 7, ""TCGA-B0-5709"": 2, ""TCGA-B8-4148"": 1, ""TCGA-B8-4619"": 2, ""TCGA-B8-4622"": 1, ""TCGA-B8-5158"": 7, ""TCGA-B8-5162"": 1, ""TCGA-B8-5164"": 1, ""TCGA-B8-5549"": 1, ""TCGA-B8-5550"": 4, ""TCGA-B8-5551"": 7, ""TCGA-B8-A54E"": 2, ""TCGA-B8-A54F"": 1, ""TCGA-BP-4164"": 3, ""TCGA-BP-4167"": 7, ""TCGA-BP-4770"": 7, ""TCGA-BP-4782"": 1, ""TCGA-BP-4960"": 7, ""TCGA-BP-4962"": 7, ""TCGA-BP-4967"": 1, ""TCGA-BP-4971"": 4, ""TCGA-BP-4977"": 3, ""TCGA-BP-4986"": 2, ""TCGA-BP-4988"": 2, ""TCGA-BP-4989"": 1, ""TCGA-BP-4992"": 7, ""TCGA-BP-4994"": 2, ""TCGA-BP-5000"": 3, ""TCGA-BP-5009"": 2, ""TCGA-BP-5010"": 7, ""TCGA-BP-5175"": 5, ""TCGA-BP-5180"": 5, ""TCGA-BP-5189"": 2, ""TCGA-BP-5191"": 6, ""TCGA-BP-5196"": 7, ""TCGA-BP-5200"": 1, ""TCGA-CJ-4637"": 3, ""TCGA-CJ-4641"": 3, ""TCGA-CJ-4900"": 5, ""TCGA-CJ-4902"": 5, ""TCGA-CJ-4903"": 3, ""TCGA-CJ-4923"": 7, ""TCGA-CJ-6027"": 7, ""TCGA-CJ-6028"": 7, ""TCGA-CJ-6030"": 2, ""TCGA-CJ-6033"": 7, ""TCGA-CZ-4865"": 1, ""TCGA-CZ-5462"": 1, ""TCGA-CZ-5468"": 5, ""TCGA-CZ-5984"": 1, ""TCGA-CZ-5985"": 1, ""TCGA-G6-A5PC"": 4, ""TCGA-G6-A8L7"": 3}",False,0,True,False,False,0.6210237620489988,0.3620689655172414,0.7522086512291171,0.5316455696202531,0.9205919821474543,0.7931034482758621
FAMILY02,"[""run1_K2"", ""run1_K3"", ""run1_K4"", ""run1_K5"", ""run1_K6"", ""run1_K7"", ""run1_K8"", ""run2_K2"", ""run2_K3"", ""run2_K4"", ""run2_K5"", ""run2_K6"", ""run2_K7"", ""run2_K8"", ""run3_K2"", ""run3_K3"", ""run3_K4"", ""run3_K5"", ""run3_K6"", ""run3_K7"", ""run3_K8""]","[2, 3, 4, 5, 6, 7, 8]","[1, 2, 3]",7,3,"[""TCGA-B0-5085"", ""TCGA-B0-5088"", ""TCGA-B0-5115"", ""TCGA-B0-5696"", ""TCGA-B0-5697"", ""TCGA-B0-5698"", ""TCGA-B0-5703"", ""TCGA-B0-5709"", ""TCGA-B0-5712"", ""TCGA-B0-5812"", ""TCGA-B8-4151"", ""TCGA-B8-4153"", ""TCGA-B8-4622"", ""TCGA-B8-5159"", ""TCGA-B8-5165"", ""TCGA-B8-5546"", ""TCGA-B8-5553"", ""TCGA-B8-A54D"", ""TCGA-B8-A54G"", ""TCGA-BP-4965"", ""TCGA-BP-4970"", ""TCGA-BP-4972"", ""TCGA-BP-4976"", ""TCGA-BP-4982"", ""TCGA-BP-4986"", ""TCGA-BP-4995"", ""TCGA-BP-4999"", ""TCGA-BP-5001"", ""TCGA-BP-5004"", ""TCGA-BP-5006"", ""TCGA-BP-5007"", ""TCGA-BP-5009"", ""TCGA-BP-5174"", ""TCGA-BP-5181"", ""TCGA-BP-5183"", ""TCGA-BP-5184"", ""TCGA-BP-5186"", ""TCGA-BP-5187"", ""TCGA-BP-5190"", ""TCGA-BP-5192"", ""TCGA-BP-5194"", ""TCGA-BP-5195"", ""TCGA-BP-5199"", ""TCGA-BP-5200"", ""TCGA-CJ-4904"", ""TCGA-CZ-4859"", ""TCGA-CZ-4863"", ""TCGA-CZ-5451"", ""TCGA-CZ-5988""]","{""TCGA-B0-5085"": 21, ""TCGA-B0-5088"": 21, ""TCGA-B0-5115"": 6, ""TCGA-B0-5696"": 18, ""TCGA-B0-5697"": 3, ""TCGA-B0-5698"": 21, ""TCGA-B0-5703"": 15, ""TCGA-B0-5709"": 3, ""TCGA-B0-5712"": 15, ""TCGA-B0-5812"": 21, ""TCGA-B8-4151"": 15, ""TCGA-B8-4153"": 21, ""TCGA-B8-4622"": 6, ""TCGA-B8-5159"": 3, ""TCGA-B8-5165"": 21, ""TCGA-B8-5546"": 6, ""TCGA-B8-5553"": 3, ""TCGA-B8-A54D"": 3, ""TCGA-B8-A54G"": 3, ""TCGA-BP-4965"": 9, ""TCGA-BP-4970"": 12, ""TCGA-BP-4972"": 9, ""TCGA-BP-4976"": 21, ""TCGA-BP-4982"": 21, ""TCGA-BP-4986"": 3, ""TCGA-BP-4995"": 6, ""TCGA-BP-4999"": 21, ""TCGA-BP-5001"": 18, ""TCGA-BP-5004"": 3, ""TCGA-BP-5006"": 21, ""TCGA-BP-5007"": 21, ""TCGA-BP-5009"": 3, ""TCGA-BP-5174"": 21, ""TCGA-BP-5181"": 9, ""TCGA-BP-5183"": 3, ""TCGA-BP-5184"": 21, ""TCGA-BP-5186"": 21, ""TCGA-BP-5187"": 21, ""TCGA-BP-5190"": 21, ""TCGA-BP-5192"": 21, ""TCGA-BP-5194"": 21, ""TCGA-BP-5195"": 12, ""TCGA-BP-5199"": 21, ""TCGA-BP-5200"": 6, ""TCGA-CJ-4904"": 21, ""TCGA-CZ-4859"": 9, ""TCGA-CZ-4863"": 6, ""TCGA-CZ-5451"": 21, ""TCGA-CZ-5988"": 3}","{""TCGA-B0-5085"": 7, ""TCGA-B0-5088"": 7, ""TCGA-B0-5115"": 2, ""TCGA-B0-5696"": 6, ""TCGA-B0-5697"": 1, ""TCGA-B0-5698"": 7, ""TCGA-B0-5703"": 5, ""TCGA-B0-5709"": 1, ""TCGA-B0-5712"": 5, ""TCGA-B0-5812"": 7, ""TCGA-B8-4151"": 5, ""TCGA-B8-4153"": 7, ""TCGA-B8-4622"": 2, ""TCGA-B8-5159"": 1, ""TCGA-B8-5165"": 7, ""TCGA-B8-5546"": 2, ""TCGA-B8-5553"": 1, ""TCGA-B8-A54D"": 1, ""TCGA-B8-A54G"": 1, ""TCGA-BP-4965"": 3, ""TCGA-BP-4970"": 4, ""TCGA-BP-4972"": 3, ""TCGA-BP-4976"": 7, ""TCGA-BP-4982"": 7, ""TCGA-BP-4986"": 1, ""TCGA-BP-4995"": 2, ""TCGA-BP-4999"": 7, ""TCGA-BP-5001"": 6, ""TCGA-BP-5004"": 1, ""TCGA-BP-5006"": 7, ""TCGA-BP-5007"": 7, ""TCGA-BP-5009"": 1, ""TCGA-BP-5174"": 7, ""TCGA-BP-5181"": 3, ""TCGA-BP-5183"": 1, ""TCGA-BP-5184"": 7, ""TCGA-BP-5186"": 7, ""TCGA-BP-5187"": 7, ""TCGA-BP-5190"": 7, ""TCGA-BP-5192"": 7, ""TCGA-BP-5194"": 7, ""TCGA-BP-5195"": 4, ""TCGA-BP-5199"": 7, ""TCGA-BP-5200"": 2, ""TCGA-CJ-4904"": 7, ""TCGA-CZ-4859"": 3, ""TCGA-CZ-4863"": 2, ""TCGA-CZ-5451"": 7, ""TCGA-CZ-5988"": 1}",False,0,True,False,False,0.7402905480087949,0.5434782608695652,0.8417630272878807,0.704225352112676,0.9324982557125415,0.75
FAMILY03,"[""run1_K3"", ""run1_K4"", ""run1_K5"", ""run1_K6"", ""run2_K3"", ""run2_K4"", ""run3_K3"", ""run3_K4"", ""run3_K5""]","[3, 4, 5, 6]","[1, 2, 3]",4,3,"[""TCGA-B0-5696"", ""TCGA-B0-5697"", ""TCGA-B0-5702"", ""TCGA-B0-5709"", ""TCGA-B0-5712"", ""TCGA-B8-4148"", ""TCGA-B8-4151"", ""TCGA-B8-5159"", ""TCGA-B8-5162"", ""TCGA-B8-5164"", ""TCGA-B8-5549"", ""TCGA-B8-5553"", ""TCGA-B8-A54D"", ""TCGA-B8-A54F"", ""TCGA-B8-A54G"", ""TCGA-BP-4782"", ""TCGA-BP-4967"", ""TCGA-BP-4989"", ""TCGA-BP-5004"", ""TCGA-BP-5183"", ""TCGA-CJ-4637"", ""TCGA-CJ-4641"", ""TCGA-CJ-4903"", ""TCGA-CJ-6030"", ""TCGA-CZ-4863"", ""TCGA-CZ-4865"", ""TCGA-CZ-5462"", ""TCGA-CZ-5984"", ""TCGA-CZ-5985"", ""TCGA-CZ-5988"", ""TCGA-G6-A8L7""]","{""TCGA-B0-5696"": 3, ""TCGA-B0-5697"": 9, ""TCGA-B0-5702"": 9, ""TCGA-B0-5709"": 6, ""TCGA-B0-5712"": 6, ""TCGA-B8-4148"": 9, ""TCGA-B8-4151"": 6, ""TCGA-B8-5159"": 9, ""TCGA-B8-5162"": 9, ""TCGA-B8-5164"": 9, ""TCGA-B8-5549"": 9, ""TCGA-B8-5553"": 9, ""TCGA-B8-A54D"": 9, ""TCGA-B8-A54F"": 9, ""TCGA-B8-A54G"": 9, ""TCGA-BP-4782"": 9, ""TCGA-BP-4967"": 9, ""TCGA-BP-4989"": 3, ""TCGA-BP-5004"": 6, ""TCGA-BP-5183"": 6, ""TCGA-CJ-4637"": 6, ""TCGA-CJ-4641"": 6, ""TCGA-CJ-4903"": 3, ""TCGA-CJ-6030"": 8, ""TCGA-CZ-4863"": 9, ""TCGA-CZ-4865"": 9, ""TCGA-CZ-5462"": 9, ""TCGA-CZ-5984"": 9, ""TCGA-CZ-5985"": 9, ""TCGA-CZ-5988"": 9, ""TCGA-G6-A8L7"": 3}","{""TCGA-B0-5696"": 1, ""TCGA-B0-5697"": 4, ""TCGA-B0-5702"": 4, ""TCGA-B0-5709"": 2, ""TCGA-B0-5712"": 2, ""TCGA-B8-4148"": 4, ""TCGA-B8-4151"": 2, ""TCGA-B8-5159"": 4, ""TCGA-B8-5162"": 4, ""TCGA-B8-5164"": 4, ""TCGA-B8-5549"": 4, ""TCGA-B8-5553"": 4, ""TCGA-B8-A54D"": 4, ""TCGA-B8-A54F"": 4, ""TCGA-B8-A54G"": 4, ""TCGA-BP-4782"": 4, ""TCGA-BP-4967"": 4, ""TCGA-BP-4989"": 1, ""TCGA-BP-5004"": 2, ""TCGA-BP-5183"": 2, ""TCGA-CJ-4637"": 2, ""TCGA-CJ-4641"": 2, ""TCGA-CJ-4903"": 1, ""TCGA-CJ-6030"": 3, ""TCGA-CZ-4863"": 4, ""TCGA-CZ-4865"": 4, ""TCGA-CZ-5462"": 4, ""TCGA-CZ-5984"": 4, ""TCGA-CZ-5985"": 4, ""TCGA-CZ-5988"": 4, ""TCGA-G6-A8L7"": 2}",False,0,True,True,False,0.8065518859873698,0.6129032258064516,0.8858041547084333,0.76,0.9757936507936505,0.95
FAMILY04,"[""run1_K5"", ""run1_K6"", ""run2_K6"", ""run3_K4"", ""run3_K5"", ""run3_K6""]","[4, 5, 6]","[1, 2, 3]",3,3,"[""TCGA-B0-5117"", ""TCGA-B8-4619"", ""TCGA-B8-5546"", ""TCGA-B8-A54E"", ""TCGA-BP-4965"", ""TCGA-BP-4970"", ""TCGA-BP-4971"", ""TCGA-BP-4986"", ""TCGA-BP-4988"", ""TCGA-BP-4989"", ""TCGA-BP-4994"", ""TCGA-BP-4995"", ""TCGA-BP-5175"", ""TCGA-BP-5180"", ""TCGA-BP-5189"", ""TCGA-BP-5191"", ""TCGA-BP-5195"", ""TCGA-CZ-5468""]","{""TCGA-B0-5117"": 6, ""TCGA-B8-4619"": 6, ""TCGA-B8-5546"": 6, ""TCGA-B8-A54E"": 6, ""TCGA-BP-4965"": 6, ""TCGA-BP-4970"": 4, ""TCGA-BP-4971"": 2, ""TCGA-BP-4986"": 6, ""TCGA-BP-4988"": 6, ""TCGA-BP-4989"": 6, ""TCGA-BP-4994"": 6, ""TCGA-BP-4995"": 6, ""TCGA-BP-5175"": 3, ""TCGA-BP-5180"": 3, ""TCGA-BP-5189"": 6, ""TCGA-BP-5191"": 2, ""TCGA-BP-5195"": 4, ""TCGA-CZ-5468"": 3}","{""TCGA-B0-5117"": 3, ""TCGA-B8-4619"": 3, ""TCGA-B8-5546"": 3, ""TCGA-B8-A54E"": 3, ""TCGA-BP-4965"": 3, ""TCGA-BP-4970"": 2, ""TCGA-BP-4971"": 1, ""TCGA-BP-4986"": 3, ""TCGA-BP-4988"": 3, ""TCGA-BP-4989"": 3, ""TCGA-BP-4994"": 3, ""TCGA-BP-4995"": 3, ""TCGA-BP-5175"": 2, ""TCGA-BP-5180"": 2, ""TCGA-BP-5189"": 3, ""TCGA-BP-5191"": 1, ""TCGA-BP-5195"": 2, ""TCGA-CZ-5468"": 2}",False,0,True,True,False,0.7773148148148149,0.6111111111111112,0.8660919540229884,0.7586206896551724,0.9217948717948719,0.8461538461538461
FAMILY05,"[""run1_K5"", ""run1_K6"", ""run3_K5"", ""run3_K6""]","[5, 6]","[1, 3]",2,2,"[""TCGA-B8-4622"", ""TCGA-B8-5550"", ""TCGA-BP-4164"", ""TCGA-BP-4972"", ""TCGA-BP-4977"", ""TCGA-BP-5000"", ""TCGA-BP-5004"", ""TCGA-BP-5009"", ""TCGA-BP-5181"", ""TCGA-BP-5183"", ""TCGA-BP-5200"", ""TCGA-CJ-4903"", ""TCGA-CZ-4859""]","{""TCGA-B8-4622"": 4, ""TCGA-B8-5550"": 2, ""TCGA-BP-4164"": 4, ""TCGA-BP-4972"": 4, ""TCGA-BP-4977"": 4, ""TCGA-BP-5000"": 4, ""TCGA-BP-5004"": 4, ""TCGA-BP-5009"": 4, ""TCGA-BP-5181"": 4, ""TCGA-BP-5183"": 4, ""TCGA-BP-5200"": 4, ""TCGA-CJ-4903"": 2, ""TCGA-CZ-4859"": 4}","{""TCGA-B8-4622"": 2, ""TCGA-B8-5550"": 1, ""TCGA-BP-4164"": 2, ""TCGA-BP-4972"": 2, ""TCGA-BP-4977"": 2, ""TCGA-BP-5000"": 2, ""TCGA-BP-5004"": 2, ""TCGA-BP-5009"": 2, ""TCGA-BP-5181"": 2, ""TCGA-BP-5183"": 2, ""TCGA-BP-5200"": 2, ""TCGA-CJ-4903"": 1, ""TCGA-CZ-4859"": 2}",False,0,True,True,False,0.8974358974358974,0.8461538461538461,0.9444444444444445,0.9166666666666666,1.0,1.0
FAMILY06,"[""run1_K6""]",[6],[1],1,1,"[""TCGA-B0-5709"", ""TCGA-G6-A5PC""]","{""TCGA-B0-5709"": 1, ""TCGA-G6-A5PC"": 1}","{""TCGA-B0-5709"": 1, ""TCGA-G6-A5PC"": 1}",False,0,False,False,True,,,,,,
FAMILY07,"[""run1_K7"", ""run1_K8"", ""run2_K7"", ""run2_K8"", ""run3_K7"", ""run3_K8""]","[7, 8]","[1, 2, 3]",2,3,"[""TCGA-B0-5117"", ""TCGA-B8-4619"", ""TCGA-B8-5546"", ""TCGA-B8-A54E"", ""TCGA-BP-4994"", ""TCGA-BP-4995""]","{""TCGA-B0-5117"": 6, ""TCGA-B8-4619"": 6, ""TCGA-B8-5546"": 6, ""TCGA-B8-A54E"": 6, ""TCGA-BP-4994"": 6, ""TCGA-BP-4995"": 6}","{""TCGA-B0-5117"": 2, ""TCGA-B8-4619"": 2, ""TCGA-B8-5546"": 2, ""TCGA-B8-A54E"": 2, ""TCGA-BP-4994"": 2, ""TCGA-BP-4995"": 2}",False,0,True,True,False,1.0,1.0,1.0,1.0,1.0,1.0
FAMILY08,"[""run1_K7"", ""run2_K7"", ""run3_K7""]",[7],"[1, 2, 3]",1,3,"[""TCGA-BP-4965"", ""TCGA-BP-4970"", ""TCGA-BP-4971"", ""TCGA-BP-4986"", ""TCGA-BP-4988"", ""TCGA-BP-5189"", ""TCGA-BP-5195""]","{""TCGA-BP-4965"": 3, ""TCGA-BP-4970"": 3, ""TCGA-BP-4971"": 3, ""TCGA-BP-4986"": 3, ""TCGA-BP-4988"": 3, ""TCGA-BP-5189"": 3, ""TCGA-BP-5195"": 3}","{""TCGA-BP-4965"": 1, ""TCGA-BP-4970"": 1, ""TCGA-BP-4971"": 1, ""TCGA-BP-4986"": 1, ""TCGA-BP-4988"": 1, ""TCGA-BP-5189"": 1, ""TCGA-BP-5195"": 1}",False,0,False,False,False,1.0,1.0,1.0,1.0,1.0,1.0
FAMILY09,"[""run1_K8"", ""run2_K8"", ""run3_K8""]",[8],"[1, 2, 3]",1,3,"[""TCGA-B8-A54D"", ""TCGA-B8-A54G"", ""TCGA-CJ-4637"", ""TCGA-CJ-4641"", ""TCGA-CJ-4900"", ""TCGA-CJ-4902"", ""TCGA-CJ-6030"", ""TCGA-CZ-5462"", ""TCGA-CZ-5985""]","{""TCGA-B8-A54D"": 3, ""TCGA-B8-A54G"": 3, ""TCGA-CJ-4637"": 3, ""TCGA-CJ-4641"": 3, ""TCGA-CJ-4900"": 3, ""TCGA-CJ-4902"": 3, ""TCGA-CJ-6030"": 3, ""TCGA-CZ-5462"": 3, ""TCGA-CZ-5985"": 3}","{""TCGA-B8-A54D"": 1, ""TCGA-B8-A54G"": 1, ""TCGA-CJ-4637"": 1, ""TCGA-CJ-4641"": 1, ""TCGA-CJ-4900"": 1, ""TCGA-CJ-4902"": 1, ""TCGA-CJ-6030"": 1, ""TCGA-CZ-5462"": 1, ""TCGA-CZ-5985"": 1}",False,0,False,False,False,1.0,1.0,1.0,1.0,1.0,1.0
FAMILY10,"[""run3_K8""]",[8],[3],1,1,"[""TCGA-B8-5550"", ""TCGA-BP-4164"", ""TCGA-BP-5004"", ""TCGA-BP-5200"", ""TCGA-CJ-4903"", ""TCGA-CZ-4859""]","{""TCGA-B8-5550"": 1, ""TCGA-BP-4164"": 1, ""TCGA-BP-5004"": 1, ""TCGA-BP-5200"": 1, ""TCGA-CJ-4903"": 1, ""TCGA-CZ-4859"": 1}","{""TCGA-B8-5550"": 1, ""TCGA-BP-4164"": 1, ""TCGA-BP-5004"": 1, ""TCGA-BP-5200"": 1, ""TCGA-CJ-4903"": 1, ""TCGA-CZ-4859"": 1}",False,0,False,False,True,,,,,,
